109;2;Du sang sur les mains;Dargaud;978-2205-05902-1;misspastouche02.JPG;46;3;slug
110;1;Nathalie;Dargaud;978-2-205-05798-0;Gus01_60211.jpg;78;4;slug
111;1;Londres;Vents d'Ouest;2-86967-115-5;PeterPan01.jpg;48;5;slug
112;2;Opikanoba;Vents d'Ouest;2-86967-191-1;PeterPan02.jpg;58;6;slug
113;4;Mains rouges;Vents d'Ouest;2-86967-520-8;PeterPan04.jpg;56;7;slug
114;5;Crochet;Vents d'Ouest;2-86967-849-5;PeterPan05.jpg;50;4;slug
115;6;Destins;Vents d'Ouest;2-7493-0127-0;PeterPan06.jpg;46;3;slug
116;3;Tempête;Vents d'Ouest;2-86967-292-6;PeterPan03.jpg;57;7;slug
117;1;A la recherche de peter pan;Le lombard;2-8036-590-8;ALaRechercheDePeterPan1c_11022008_172842.jpg;52;5;slug
118;2;A la recherche de peter pan;Le Lombard;2-8036-591-9;ALaRechercheDePeterPan2c_11022008_172617.jpg;67;4;slug
119;3;Révolution, révolution...;Glénat;2-7234-1516-3;sambrecouv03.JPG;50;2;slug
120;5;Maudit soit le fruit de ses entrailles...;Glénat;2-7234-3548-2;sambre05.jpg;44;5;slug
121;1;Plus ne m'est rien...;Glénat;2-7234-0641-5;sambrecouv01.JPG;47;1;slug
122;2;Je sais que tu viendras...;Glénat;2-7234-1139-7;sambrecouv02.JPG;46;1;slug
123;4;Faut-il que nous mourions ensemble...;Glénat;2-7234-2000-0;sambrecouv04.JPG;53;4;slug
124;1;Hugo & Iris, Chapitre 1 - Printemps 1830;Futuropolis;978-2-7548-0057-0;guerredessambre01.jpg;54;2;slug
125;4;L'oeuf des ténébres;Dargaud;2-205-03460-X;QuetedelOiseauduTempsLa04.jpg;62;3;slug
126;5;L'ami Javin;Dargaud;2-205-04394-3;QuetedelOiseauduTempsLa05.jpg;62;4;slug
127;6;Le grimoire des dieux;Dargaud;978-2-205-05633-4;quetedeloiseaudutemps06.jpg;64;6;slug
129;1;La conque de Ramor;Dargaud;2-205-02406-X;QuetedelOiseauduTempsLa01.jpg;46;7;slug
130;2;Le temple de l'oubli;Dargaud;2-205-02576-7;QuetedelOiseauduTempsLa02.jpg;47;8;slug
131;3;Le Rige;Dargaud;2-205-02952-5;QuetedelOiseauduTempsLa03.jpg;58;3;slug
132;2;Le grand trou;Les Humanoïdes Associés;2-7316-6340-5;koma02.jpg;46;1;slug
133;3;Comme dans les westerns;Les Humanoïdes Associés;2-7316-1648-2;Koma3_08032005.jpg;46;2;slug
134;1;La voix des cheminées;Les Humanoïdes Associés;2-7316-6318-9;koma01_07102003.jpg;46;4;slug
135;4;L'Hôtel;Les Humanoïdes Associés;2-7316-1792-6;Koma4_23052006.jpg;46;5;slug
136;5;Le duel;Les Humanoïdes Associés;978-2-7316-1944-7;koma05.jpg;46;2;slug
137;1;Volume 1;Atrabile;2-940329-03-6;Lupuscouv01.jpg;92;2;slug
138;2;Volume 2;Atrabile;2-940329-10-9;lupus02_21012004.jpg;92;3;slug
139;3;Volume 3;Atrabile;2-940329-18-4;lupus03couv.jpg;92;2;slug
140;4;Volume 4;Atrabile;2-940329-23-0;lupus04.jpg;108;3;slug
144;4;Le mystère de l'île étrange;Delcourt;2-84055-335-X;DeCapeEtDeCrocs4a_13032006.jpg;46;4;slug
145;5;Jean sans lune;Delcourt;2-84055-578-6;DeCapeEtDeCrocs5a_13032006.jpg;46;5;slug
148;8;Le maître d'armes;Delcourt;978-2-7560-0318-4;decapeetdecrocs08_68195.jpg;46;6;slug
151;NULL;Les petits ruisseaux;Futuropolis;2-7548-0016-6;PetitsRuisseauxLes_06052006.jpg;92;7;slug
155;NULL;Intégrale;Delcourt;2-84055-263-9;VPourVendettacintegrale.jpg;272;2;slug
160;2;Tome 2;Dupuis;2-8001-3540-9;photographele02_38982.jpg;76;4;slug
161;3;Tome 3;Dupuis;2-8001-3544-1;photographele03_53163.jpg;96;5;slug
162;NULL;Notes pour une histoire de guerre;Actes Sud;2-7427-5352-4;notespourunehistoiredeguerre.JPG;96;6;slug
163;1;Riyad-sur-Seine;Gallimard;978-2-07-057907-5;RG01.jpg;104;2;slug
164;2;Bangkok-Belleville;Gallimard;978-2-07-061527-8;Rg2_18032008_201939.jpg;104;4;slug
165;NULL;Lucille;Futuropolis;2-7548-0051-4;Lucille_31012006.jpg;544;3;slug
166;NULL;Le réducteur de vitesse;Dupuis;2-8001-2801-1;ReducteurDeVitesseLeb_14082007_174306.jpg;76;2;slug
167;1;Le roi de Paris;Audie;2-85815-263-2;blotch01.jpg;45;2;slug
168;2;Face à son destin;Audie;2-85815-286-1;blotch02couv.jpg;51;5;slug
169;NULL;Péplum;Cornélius;2-909990-33-8;Pepluma_13062004.jpg;112;6;slug
170;26;Le Royaume sous le Sable;Le Lombard;2-8036-1665-3;thorgal26.jpg;46;7;slug
171;27;Le barbare;Le Lombard;2-80361-775-7;thorgal27.jpg;46;1;slug
172;28;Kriss de Valnor;Le Lombard;2-80362-003-0;thorgal28.jpg;46;2;slug
173;29;Le sacrifice;Le Lombard;2803621983;Thorgal29_24112006.jpg;46;3;slug
174;30;Moi, Jolan;Le Lombard;978-2-80362-265-8;thorgal30.jpg;46;2;slug
175;1;La magicienne trahie;Lombard;2-8036-0358-6;thorgal01a.jpg;46;1;slug
